01:20.736	ID:1	Broadcast recv from 5 of 5 with id 8
01:20.736	ID:4	Broadcast recv from 5 of 5 with id 8
01:20.738	ID:2	Broadcast message sent
01:20.738	ID:6	Broadcast message sent
01:20.738	ID:3	Broadcast message sent
01:20.738	ID:13	Broadcast message sent
01:20.738	ID:1	Broadcast message sent
01:20.739	ID:4	Broadcast message sent
01:20.744	ID:1	Send me a message
01:20.746	ID:12	Broadcast recv from 13 of 5 with id 8
01:20.749	ID:12	Broadcast message sent
01:20.752	ID:2	Broadcast recv from 1 of 5 with id 8
01:20.752	ID:3	Broadcast recv from 1 of 5 with id 8
01:20.752	ID:6	Broadcast recv from 1 of 5 with id 8
01:20.752	ID:5	Broadcast recv from 1 of 5 with id 8
01:20.752	ID:4	Broadcast recv from 1 of 5 with id 8
01:20.754	ID:2	Broadcast message sent
01:20.754	ID:6	Broadcast message sent
01:20.755	ID:4	Broadcast message sent
01:20.755	ID:3	Broadcast message sent
01:20.756	ID:7	Broadcast recv from 12 of 5 with id 8
01:20.756	ID:9	Broadcast recv from 12 of 5 with id 8
01:20.756	ID:10	Broadcast recv from 12 of 5 with id 8
01:20.757	ID:8	Broadcast recv from 12 of 5 with id 8
01:20.757	ID:11	Broadcast recv from 12 of 5 with id 8
01:20.757	ID:13	Broadcast recv from 12 of 5 with id 8
01:20.759	ID:7	Broadcast message sent
01:20.759	ID:10	Broadcast message sent
01:20.759	ID:8	Broadcast message sent
01:20.759	ID:11	Broadcast message sent
01:20.759	ID:9	Broadcast message sent
01:30.738	ID:1	Send me a message
01:30.756	ID:3	Broadcast message sent 9
01:30.764	ID:1	Broadcast recv from 3 of 3 with id 9
01:30.764	ID:4	Broadcast recv from 3 of 3 with id 9
01:30.764	ID:2	Broadcast recv from 3 of 3 with id 9
01:30.764	ID:5	Broadcast recv from 3 of 3 with id 9
01:30.764	ID:6	Broadcast recv from 3 of 3 with id 9
01:30.766	ID:1	Broadcast message sent
01:30.766	ID:2	Broadcast message sent
01:30.766	ID:5	Broadcast message sent
01:30.766	ID:4	Broadcast message sent
01:30.766	ID:6	Broadcast message sent
01:30.772	ID:1	Send me a message
01:40.769	ID:1	Send me a message
